"独自番号","安定所名","求人番号","事_業_所","所_在_地","資本金","全社員数","就業場所人数","求人数","就業場所","月額賃金","賞与","時間外平均","週休２日制","年間休日数","業種8種","産業分類","職種"
"0910","八代公共職業安定所","43020-167859","肥薩おれんじ鉄道株式会社","熊本県八代市萩原町１丁目１番１号","15億6,000万円",122,65,4,"鹿児島県",\190000,"あり",5,"その他",116,"運輸・倉庫・インフラ","鉄道業","鉄道総合職（工務職）"
"0911","八代公共職業安定所","43020-164759","肥薩おれんじ鉄道株式会社","熊本県八代市萩原町１丁目１番１号","15億6,000万円",122,65,2,"鹿児島県",\190000,"あり",5,"その他",116,"運輸・倉庫・インフラ","鉄道業","鉄道総合職（車両職）"
"0912","八代公共職業安定所","43020-168059","肥薩おれんじ鉄道株式会社","熊本県八代市萩原町１丁目１番１号","15億6,000万円",122,65,4,"鹿児島県",\190000,"あり",5,"その他",116,"運輸・倉庫・インフラ","鉄道業","鉄道総合職（電気職）"
"0913","八代公共職業安定所","43020-166959","肥薩おれんじ鉄道株式会社","熊本県八代市萩原町１丁目１番１号","15億6,000万円",122,65,10,"鹿児島県",\186000,"あり",5,"その他",116,"運輸・倉庫・インフラ","鉄道業","鉄道総合職（乗務員）"
"0914","大隅公共職業安定所","46080-31859","サンテグレ株式会社","鹿児島県曽於市末吉町南之郷158番地","5,000万円",174,170,10,"鹿児島県",\170200,"あり",8,"その他",105,"製造分野","調味料製造業","食品製造工・飼料・肥料製造工 工務作業技術工"
"0915","いの公共職業安定所","39050-41859","澁谷食品株式会社","高知県高岡郡日高村本郷７１６","3,000万円",258,25,2,"鹿児島県",\182000,"あり",16,"その他",105,"製造分野","パン・菓子製造業","菓子原料の製造工場での製造・包装業務"
"0916","大隅公共職業安定所","46080-105059","有限会社ヤゴローフーズ","鹿児島県曽於市大隅町中之内８７８５－３","1,000万円",21,18,1,"鹿児島県",\182000,"あり",19,"その他",105,"その他の分野","耕種農業","耕種農業及び管理業務"
"0917","いの公共職業安定所","39050-44159","澁谷食品株式会社","高知県高岡郡日高村本郷７１６","3,000万円",258,74,4,"鹿児島県",\182000,"あり",7,"その他",105,"製造分野","パン・菓子製造業","さつま芋菓子の製造工場での製造・包装業務"
"0918","大隅公共職業安定所","46080-43259","株式会社山本組","鹿児島県志布志市志布志町志布志９９５","2,000万円",44,39,3,"鹿児島県",\195000,"あり",,"毎週",121,"建築・設備","一般土木建築工事業","技術監督職員"
"0919","大隅公共職業安定所","46080-44559","株式会社山本組","鹿児島県志布志市志布志町志布志９９５","2,000万円",44,39,3,"鹿児島県",\195000,"あり",,"毎週",121,"製造分野","一般土木建築工事業","技術オペレーター"
"0920","大隅公共職業安定所","46080-42159","株式会社山本組","鹿児島県志布志市志布志町志布志９９５","2,000万円",44,39,3,"鹿児島県",\195000,"あり",,"毎週",121,"建築・設備","一般土木建築工事業","技術職員"
"0921","都城公共職業安定所","45040-94059","MTエナジー株式会社","宮崎県都城市高城町大井手1953番地9","6億円",17,15,2,"宮崎県",\215000,"あり",5,"その他",182,"建築・設備","電気業","オペレーター発電所実務運転員"
"0922","都城公共職業安定所","45040-237859","株式会社はざま牧場","宮崎県都城市野々美谷町１９３６－１","9,180万円",110,93,5,"・宮崎県",\191000,"あり",10,"毎週",105,"その他の分野","畜産農業","畜産養豚（都城市・曽於市）"
"0923","ハローワークプラザ宮崎","45016-64559","株式会社マスコ","宮崎県宮崎市大字赤江飛江田1253-1","1,000万円",410,25,4,"宮崎県",\174000,"なし",25,"その他",108,"飲食・宿泊","酒場，ビヤホール","飲食店スタッフ(ホール・キッチン) /都城市・小林市"
"0924","ハローワークプラザ宮崎","45016-72559","株式会社マスコ","宮崎県宮崎市大字赤江飛江田1253-1","1,000万円",416,18,3,"鹿児島県",\174000,"なし",30,"その他",108,"飲食・宿泊","酒場，ビヤホール","飲食店スタッフ(ホール・キッチン) /霧島市・鹿屋市"
"0925","都城公共職業安定所","45040-44859","特定非営利活動法人リノラ未来","宮崎県都城市南鷹尾町１３街区２号",,51,20,3,"宮崎県",\170000,"あり",3,"その他",107,"医療・福祉","障害者福祉事業","生活支援員"
"0926","徳島公共職業安定所小松島出張","36011-10359","株式会社東肥糧製造所","徳島県勝浦郡勝浦町大字沼江字兀山2-2","1,000万円",26,3,2,"鹿児島県",\190000,"あり",,"その他",96,"製造分野","飼料・有機質肥料製造業","配達、ルート営業(南九州営業所)"
"0927","茨木公共職業安定所","27150-401059","みくりや青果株式会社","大阪府茨木市宮島1丁目1-1(320)","2,000万円",121,121,10,"大阪府",\215000,"あり",13,"その他",110,"販売・小売・スーパー","農畜産物・水産物卸売業","倉庫内作業(野菜や果物の流通を支える仕事 )"
"0928","鹿児島公共職業安定所","46010-653459","霧島観光交通株式会社霧島ホテル","鹿児島県鹿児島市西千石町１－２４","1,000万円",132,132,10,"鹿児島県",\172000,"あり",3,"その他",100,"飲食・宿泊","旅館，ホテル","ホテルスタッフ"
