"独自番号","安定所名","求人番号","事_業_所","所_在_地","資本金","全社員数","就業場所人数","求人数","就業場所","月額賃金","賞与","時間外平均","週休２日制","年間休日数","業種8種","産業分類","職種"
"0001","大隅公共職業安定所","46080-85159","株式会社ナンチク","鹿児島県曽於市末吉町二之方１８２８","4億9,000万円",748,354,10,"鹿児島県",\172200,"あり",10,"その他",118,"製造分野","畜産食料品製造業","総合職（食肉製造加工）"
"0002","大隅公共職業安定所","46080-86259","株式会社ナンチク","鹿児島県曽於市末吉町二之方１８２８","4億9,000万円",748,21,3,"鹿児島県",\172200,"あり",4,"その他",118,"製造分野","畜産食料品製造業","総合職（施設管理）"
"0003","大隅公共職業安定所","46080-87559","株式会社ナンチク","鹿児島県曽於市末吉町二之方１８２８","4億9,000万円",748,70,2,"鹿児島県",\172200,"あり",3,"その他",118,"製造分野","畜産食料品製造業","総合職（事務）"
"0004","大隅公共職業安定所","46080-83059","志布志飼料株式会社","鹿児島県志布志市志布志町志布志３３０７","2億円",40,32,1,"鹿児島県",\230200,"あり",,"その他",106,"製造分野","飼料・有機質肥料製造業","飼料製造技術者"
"0005","鹿屋公共職業安定所","46030-80959","国基建設株式会社","鹿児島県鹿屋市串良町有里３１３０","2,000万円",80,80,2,"鹿児島県",\180000,"あり",15,"その他",107,"建築・設備","一般土木建築工事業","建築施工管理見習い"
"0006","鹿屋公共職業安定所","46030-79559","国基建設株式会社","鹿児島県鹿屋市串良町有里３１３０","2,000万円",80,80,2,"鹿児島県",\180000,"あり",15,"その他",107,"建築・設備","一般土木建築工事業","土木施工管理見習い"
"0007","鹿児島公共職業安定所","46010-50459","屋久島電工株式会社","鹿児島県熊毛郡屋久島町宮之浦９３９番地","20億600万円",160,156,8,"鹿児島県",\194700,"あり",8,"毎週",124,"製造分野","研磨材・同製品製造業","製造・設備保全"
"0008","鹿児島公共職業安定所","46010-22359","三洋工機株式会社","鹿児島県鹿児島市南栄２丁目７－６","2,000万円",100,100,5,"鹿児島県",\195000,"あり",10,"その他",120,"建築・設備","その他の設備工事業","機械技術者"
"0009","鹿児島公共職業安定所","46010-25559","三洋工機株式会社","鹿児島県鹿児島市南栄２丁目７－６","2,000万円",100,100,5,"鹿児島県",\195000,"あり",10,"その他",120,"建築・設備","その他の設備工事業","電気技術者"
"0010","鹿児島公共職業安定所","46010-907859","岩崎産業株式会社","鹿児島県鹿児島市山下町９－５","3,800万円",585,27,3,"鹿児島県",\198000,"あり",2,"その他",110,"販売・小売・スーパー","燃料小売業","農業"
"0011","鹿児島公共職業安定所","46010-838159","岩崎産業株式会社","鹿児島県鹿児島市山下町９－５","3,800万円",585,126,2,"鹿児島県",\190000,"あり",2,"その他",110,"販売・小売・スーパー","燃料小売業","経理・一般事務"
"0012","鹿児島公共職業安定所","46010-900159","岩崎産業株式会社","鹿児島県鹿児島市山下町９－５","3,800万円",585,165,10,"",\197000,"あり",25,"その他",110,"販売・小売・スーパー","燃料小売業","ガソリンスタンドスタッフ"
"0013","鹿児島公共職業安定所","46010-876659","いわさきコーポレーション株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","8,000万円",124,71,4,"鹿児島県",\195000,"あり",9,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","桜島サービスエリアでの接客・事務"
"0014","鹿児島公共職業安定所","46010-877959","いわさきコーポレーション株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","8,000万円",124,19,4,"鹿児島県",\195000,"あり",9,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","高速船整備"
"0015","鹿児島公共職業安定所","46010-878859","いわさきコーポレーション株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","8,000万円",124,19,2,"鹿児島県",\195000,"あり",9,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","フェリー工務"
"0016","鹿児島公共職業安定所","46010-875759","いわさきコーポレーション株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","8,000万円",124,21,1,"鹿児島県",\195000,"あり",9,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","高速船整備事務"
"0017","鹿児島公共職業安定所","46010-816759","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,130,10,"",\190000,"あり",7,"その他",110,"飲食・宿泊","旅館，ホテル","調理"
"0018","鹿児島公共職業安定所","46010-815459","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,187,15,"",\190000,"あり",7,"その他",110,"飲食・宿泊","旅館，ホテル","ホテル業務"
"0019","鹿児島公共職業安定所","46010-814559","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,17,3,"鹿児島県",\190000,"",7,"その他",110,"飲食・宿泊","旅館，ホテル","レストラン業務"
"0020","鹿児島公共職業安定所","46010-818959","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,266,8,"",\190000,"あり",7,"その他",110,"飲食・宿泊","旅館，ホテル","工務"
"0021","鹿児島公共職業安定所","46010-820159","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,266,10,"",\190000,"あり",7,"その他",110,"製造分野","旅館，ホテル","園芸"
"0022","鹿児島公共職業安定所","46010-819859","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,75,5,"",\190000,"あり",7,"その他",110,"飲食・宿泊","旅館，ホテル","コース管理"
"0023","鹿児島公共職業安定所","46010-817659","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,50,10,"鹿児島県",\190000,"あり",,"その他",110,"飲食・宿泊","旅館，ホテル","キャディー業務"
"0024","鹿児島公共職業安定所","46010-869959","鹿児島交通株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","2,000万円",608,65,3,"鹿児島県",\190000,"あり",30,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","鴨池・垂水フェリー事業での接客・事務"
"0025","鹿児島公共職業安定所","46010-871159","鹿児島交通株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","2,000万円",608,435,10,"",\190000,"あり",30,"その他",84,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","バス事業での接客・事務"
"0026","鹿児島公共職業安定所","46010-870359","鹿児島交通観光バス株式会社","鹿児島県鹿児島市鴨池新町１２番１２号

農協会館前　バス停から　徒歩３分","5,000万円",113,37,1,"鹿児島県",\225000,"あり",11,"その他",84,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バスガイド"
"0027","鹿児島公共職業安定所","46010-872259","日本カーメンテナンス株式会社","鹿児島県鹿児島市鴨池新町１２番１２号

（農協会館前バス停から徒歩３分）","3,000万円",31,27,7,"鹿児島県",\200000,"あり",16,"その他",102,"その他の分野","自動車整備業","自動車整備"
"0028","鹿児島公共職業安定所","46010-903459","種子島・屋久島交通株式会社","鹿児島県鹿児島市山下町９番","2,000万円",49,42,4,"",\190000,"あり",36,"その他",84,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","バス営業所での接客・事務"
"0029","鹿児島公共職業安定所","46010-873559","屋久島空港ターミナルビル株式会社","鹿児島県熊毛郡屋久島町小瀬田城之平３１０－１

（空港前バス停から徒歩１分）","2,000万円",17,17,3,"鹿児島県",\195000,"あり",40,"その他",96,"運輸・倉庫・インフラ","運送代理店","屋久島空港ターミナルビルでの接客・事務"
"0030","都城公共職業安定所","45040-101159","株式会社九南","宮崎県都城市都北町５０７０番地","1億円",439,282,3,"宮崎県",\211000,"あり",9,"その他",114,"建築・設備","電気工事業","技術職"
"0031","都城公共職業安定所","45040-73459","株式会社九南フィールドエンジニアリング","宮崎県北諸県郡三股町大字蓼池４４７９番地","3,000万円",68,68,5,"宮崎県",\205000,"あり",1,"毎週",156,"建築・設備","電気工事業","送電線鉄塔の建設（組立、架線）作業員"
"0032","都城公共職業安定所","45040-11059","株式会社きりしまベーカリー","宮崎県都城市都北町７５８３","1,000万円",36,36,3,"宮崎県",\174000,"あり",5,"その他",94,"製造分野","パン・菓子製造業","パン、米飯の製造、配送、回収"
"0033","都城公共職業安定所","45040-201759","一般社団法人藤元メディカルシステム","宮崎県都城市早鈴町１７街区１号",,1149,605,5,"宮崎県",\153600,"あり",10,"毎週",123,"医療・福祉","病院","事務職"
"0034","大隅公共職業安定所","46080-120059","そお鹿児島農業協同組合","鹿児島県曽於市大隅町岩川５５９１－１","95億円",585,556,10,"",\159650,"あり",17,"毎週",121,"その他の分野","農林水産業協同組合（他に分類されないもの）","事務職"
"0035","大隅公共職業安定所","46080-121359","そお鹿児島農業協同組合","鹿児島県曽於市大隅町岩川５５９１－１","95億円",585,556,6,"",\164650,"あり",17,"毎週",121,"その他の分野","農林水産業協同組合（他に分類されないもの）","畜産指導員（関連事務職含む）"
"0036","大隅公共職業安定所","46080-122159","そお鹿児島農業協同組合","鹿児島県曽於市大隅町岩川５５９１－１","95億円",585,556,6,"",\164650,"あり",17,"毎週",121,"その他の分野","農林水産業協同組合（他に分類されないもの）","農産指導員（関連事務職含む）"
"0037","大隅公共職業安定所","46080-123259","そお鹿児島農業協同組合","鹿児島県曽於市大隅町岩川5591-1","95億円",585,556,6,"",\174650,"あり",17,"毎週",121,"その他の分野","農林水産業協同組合（他に分類されないもの）","自動車・農業機械整備士・ガス販売営業 (関連事務職含む)"
"0038","大隅公共職業安定所","46080-82859","九州昭和産業株式会社","鹿児島県志布志市志布志町志布志３３０９","3億円",86,11,2,"鹿児島県",\217100,"あり",5,"毎週",105,"製造分野","飼料・有機質肥料製造業","養豚管理"
"0039","大隅公共職業安定所","46080-111859","九州昭和産業株式会社","鹿児島県志布志市志布志町志布志３３０９","3億円",86,50,2,"鹿児島県",\197100,"あり",10,"毎週",125,"製造分野","飼料・有機質肥料製造業","製造オペレーター（志布志市）"
"0040","新津公共職業安定所","15070-162859","株式会社コメリ","新潟県新潟市南区清水4501番地1","188億200万円",10695,10230,20,"",\220000,"あり",20,"その他",120,"販売・小売・スーパー","ホームセンター","販売職(リージョナル社員) 転居を伴う転勤あり"
"0041","新津公共職業安定所","15070-161959","株式会社コメリ","新潟県新潟市南区清水4501番地1","188億200万円",10695,10230,130,"鹿児島県",\222000,"あり",13,"その他",120,"販売・小売・スーパー","ホームセンター","販売職(ホーム社員) 自宅通勤、片道25kmの範囲で転勤あり"
"0042","大隅公共職業安定所","46080-55659","株式会社フジ技研カゴシマ","鹿児島県曽於市末吉町深川１１１１１－６","3,000万円",53,53,3,"鹿児島県",\170000,"あり",15,"その他",105,"製造分野","一般産業用機械・装置製造業","機械設計・機械加工"
"0043","大隅公共職業安定所","46080-56959","株式会社フジ技研カゴシマ","鹿児島県曽於市末吉町深川１１１１１－６","3,000万円",53,53,1,"鹿児島県",\170000,"あり",5,"その他",105,"製造分野","一般産業用機械・装置製造業","一般事務"
"0044","鹿児島公共職業安定所","46010-689759","鹿児島海陸運送株式会社","鹿児島県鹿児島市住吉町１３－１　ハーバーフロントビル７階","1億円",162,162,5,"",\178560,"あり",27,"その他",106,"運輸・倉庫・インフラ","一般貨物自動車運送業","荷役作業職"
"0045","鹿児島公共職業安定所","46010-690859","鹿児島海陸運送株式会社","鹿児島県鹿児島市住吉町１３－１　ハーバーフロントビル７階","1億円",162,162,3,"鹿児島県",\165000,"あり",25,"毎週",123,"運輸・倉庫・インフラ","一般貨物自動車運送業","事務職"
"0046","鹿児島公共職業安定所","46010-570159","株式会社河野工業所","鹿児島県鹿児島市喜入中名町1000-32","3,000万円",40,38,5,"鹿児島県",\215000,"あり",10,"その他",114,"建築・設備","とび・土工・コンクリート工事業","製品製造・加工処理工 (製缶工、鉄工、溶接工)"
"0047","鹿児島公共職業安定所","46010-599459","康正産業株式会社","鹿児島県鹿児島市与次郎１丁目９－７","1,200万円",1561,20,20,"",\187952,"あり",29,"その他",107,"飲食・宿泊","食堂，レストラン（専門料理店を除く）","接客サービス・調理"
"0048","伊集院公共職業安定所","46060-38059","株式会社寿産業","鹿児島県日置市吹上町中原２０８０－２","2,000万円",40,40,2,"鹿児島県",\180000,"あり",5,"毎週",120,"建築・設備","土木工事業（舗装工事業を除く）","土木技術者見習"
"0049","伊集院公共職業安定所","46060-37859","株式会社寿産業","鹿児島県日置市吹上町中原２０８０－２","2,000万円",40,40,1,"鹿児島県",\170000,"あり",5,"毎週",120,"建築・設備","土木工事業（舗装工事業を除く）","一般事務"
"0050","鹿児島公共職業安定所","46010-94959","社会福祉法人桜華会介護老人福祉施設さかもと園","鹿児島県鹿児島市坂元町５０２番地","2億5,600万円",60,33,2,"鹿児島県",\225200,"あり",10,"その他",96,"医療・福祉","老人福祉・介護事業","介護職"
"0051","鹿児島公共職業安定所","46010-459159","株式会社ＪＡ食肉かごしま","鹿児島県鹿児島市鴨池新町１５番地","4億5,200万円",714,714,10,"鹿児島県",\175550,"あり",20,"その他",103,"製造分野","畜産食料品製造業","豚の飼育管理"
"0052","鹿児島公共職業安定所","46010-460459","株式会社ＪＡ食肉かごしま","鹿児島県鹿児島市鴨池新町１５番地","4億5,200万円",714,714,6,"鹿児島県",\175550,"あり",22,"その他",103,"製造分野","畜産食料品製造業","牛の飼育管理"
"0053","鹿児島公共職業安定所","46010-463959","株式会社ＪＡ食肉かごしま","鹿児島県鹿児島市鴨池新町１５番地","4億5,200万円",714,171,3,"鹿児島県",\175550,"あり",22,"その他",104,"製造分野","畜産食料品製造業","事務（南薩工場）"
"0054","鹿児島公共職業安定所","46010-461759","株式会社ＪＡ食肉かごしま","鹿児島県鹿児島市鴨池新町１５番地","4億5,200万円",714,171,10,"鹿児島県",\175550,"あり",22,"その他",104,"製造分野","畜産食料品製造業","食肉製造販売（南薩工場）"
"0055","鹿児島公共職業安定所","46010-462659","株式会社ＪＡ食肉かごしま","鹿児島県鹿児島市鴨池新町１５番地","4億5,200万円",714,171,2,"鹿児島県",\175550,"あり",22,"その他",104,"製造分野","畜産食料品製造業","電気・機械等の施設保全（南薩工場）"
"0056","鹿児島公共職業安定所","46010-464859","株式会社ＪＡ食肉かごしま","鹿児島県鹿児島市鴨池新町１５番地","4億5,200万円",714,199,10,"鹿児島県",\175550,"あり",22,"その他",104,"製造分野","畜産食料品製造業","食肉製造販売（鹿屋工場）"
"0057","鹿児島公共職業安定所","46010-465059","株式会社ＪＡ食肉かごしま","鹿児島県鹿児島市鴨池新町１５番地","4億5,200万円",714,199,1,"鹿児島県",\175550,"あり",22,"その他",104,"製造分野","畜産食料品製造業","電気・機械等の施設保全（鹿屋工場）"
"0058","大隅公共職業安定所","46080-17059","社会福祉法人博風会","鹿児島県曽於市末吉町二之方３０７０－２",,73,73,5,"鹿児島県",\180000,"あり",1,"その他",104,"医療・福祉","障害者福祉事業","生活支援員（介護職員）"
"0059","大隅公共職業安定所","46080-38759","徳澤建設株式会社","鹿児島県曽於郡大崎町菱田２５９３－１","3,800万円",68,68,2,"鹿児島県",\200000,"あり",23,"その他",93,"建築・設備","一般土木建築工事業","建設技能者（オペレータ）"
"0060","大隅公共職業安定所","46080-37459","徳澤建設株式会社","鹿児島県曽於郡大崎町菱田２５９３－１","3,800万円",68,68,2,"鹿児島県",\200000,"あり",23,"その他",93,"建築・設備","一般土木建築工事業","建設ディレクター"
"0061","大隅公共職業安定所","46080-36559","徳澤建設株式会社","鹿児島県曽於郡大崎町菱田２５９３－１","3,800万円",68,68,2,"鹿児島県",\200000,"あり",23,"その他",93,"建築・設備","一般土木建築工事業","土木技術者"
"0062","鹿児島公共職業安定所","46010-761959","株式会社新日本科学","鹿児島県鹿児島市宮之浦町2438","96億7,907万円",1300,140,3,"鹿児島県",\199300,"あり",23,"その他",107,"その他の分野","自然科学研究所","ホテルオペレーションスタッフ"
"0063","鹿児島公共職業安定所","46010-760659","株式会社新日本科学","鹿児島県鹿児島市宮之浦町2438","96億7,907万円",1300,140,2,"鹿児島県",\199300,"あり",25,"その他",107,"その他の分野","自然科学研究所","調理師(和洋)「指宿」"
"0064","鹿児島公共職業安定所","46010-758559","株式会社新日本科学","鹿児島県鹿児島市宮之浦町2438","96億7,907万円",1300,79,10,"鹿児島県",\200640,"あり",23,"毎週",120,"その他の分野","自然科学研究所","動物飼育職"
"0065","鹿児島公共職業安定所","46010-756159","株式会社新日本科学","鹿児島県鹿児島市宮之浦町2438","96億7,907万円",1300,1092,20,"鹿児島県",\200640,"あり",23,"毎週",120,"その他の分野","自然科学研究所","技能職(実験補助職/動物飼育職)"
"0066","鹿児島公井職業安定所","46010-757259","株式会社新日本科学","鹿児島県鹿児島市宮之浦町2438","96億7,907万円",1300,1092,1,"鹿児島県",\200640,"あり",23,"毎週",120,"製造分野","製糸業，紡績業，化学繊維・ねん糸等製造業","施設管理・保全職"
"0067","鹿児島公共職業安定所","46010-759459","株式会社新日本科学","鹿児島県鹿児島市宮之浦町2438","96億7,907万円",1300,1092,5,"鹿児島県",\200640,"あり",23,"毎週",120,"その他の分野","自然科学研究所","事務職"
"0068","鹿児島公共職業安定所","46010-839259","株式会社鹿児島銀行","鹿児島県鹿児島市金生町６－６","181億3,000万円",2504,2503,30,"鹿児島県",\200000,"あり",8,"毎週",120,"その他の分野","銀行（中央銀行を除く）","総合職（事務及び営業等の銀行業務全般）"
"0069","都城公共職業安定所","45040-28859","南日本酪農協同株式会社","宮崎県都城市姫城町32街区3号",,490,333,12,"宮崎県",\166600,"あり",6,"その他",117,"製造分野","畜産食料品製造業","総合職(生産部門職・管理部門職)"
"0070","鹿屋公共職業安定所","46030-184759","志布志石油備蓄株式会社志布志事業所","鹿児島県肝属郡東串良町川東字新洲崎5024番地1",,71,71,1,"鹿児島県",\172600,"あり",17,"その他",91,"その他の分野","管理，補助的経済活動を行う事業所（９５その他のサービス業）","技術職"
"0071","福岡東公共職業安定所","40120-277959","イオン九州株式会社","福岡県福岡市東区香椎浜2丁目8-30",,19261,19261,80,"福岡県",\213000,"あり",8,"その他",125,"販売・小売・スーパー","総合スーパーマーケット","総合職"
"0072","都城公共職業安定所","45040-20359","株式会社エコロ","宮崎県都城市都北町７４０３","8,000万円",127,124,6,"宮崎県",\185000,"あり",10,"その他",110,"その他の分野","産業廃棄物処理業","廃棄物収集作業員"
"0073","都城公共職業安定所","45040-175359","株式会社昇栄宮崎出張所","宮崎県都城市都北町３［住友ゴム工業（株）宮崎工場内］","2,000万円",396,29,5,"宮崎県",\185000,"あり",10,"その他",110,"運輸・倉庫・インフラ","貨物運送取扱業（集配利用運送業を除く）","倉庫内作業【地域限定正社員】"
"0074","都城公共職業安定所","45040-176159","株式会社昇栄宮崎出張所","宮崎県都城市都北町３［住友ゴム工業（株）宮崎工場内］","2,000万円",396,29,5,"宮崎県",\195000,"あり",10,"その他",110,"運輸・倉庫・インフラ","貨物運送取扱業（集配利用運送業を除く）","倉庫内作業（倉庫内で製品の入出庫作業）"
"0075","春日部公共職業安定所","11080-226659","株式会社昇栄白岡出張所","埼玉県白岡市篠津字立野８３４－３（トランコム白岡ロジスティックセンター第２内）","2,000万円",396,54,10,"埼玉県",\245000,"あり",11,"毎週",115,"運輸・倉庫・インフラ","貨物運送取扱業（集配利用運送業を除く）","倉庫内作業（フォークリフトオペレーター）"
"0076","大隅公共職業安定所","46080-71659","菅公学生服株式会社志布志工場","鹿児島県志布志市志布志町安楽１４３","1億円",3036,167,1,"鹿児島県",\168000,"あり",5,"その他",120,"製造分野","外衣・シャツ製造業（和式を除く）","生産管理"
"0077","大隅公共職業安定所","46080-72959","菅公学生服株式会社志布志工場","鹿児島県志布志市志布志町安楽１４３","1億円",3036,167,1,"鹿児島県",\168000,"あり",5,"その他",120,"製造分野","外衣・シャツ製造業（和式を除く）","設備保全"
"0078","大隅公共職業安定所","46080-73859","菅公学生服株式会社志布志工場","鹿児島県志布志市志布志町安楽１４３","1億円",3036,167,3,"鹿児島県",\168000,"あり",5,"その他",120,"製造分野","外衣・シャツ製造業（和式を除く）","ソーイングスタッフ"
"0079","都城公共職業安定所","45040-119159","菅公学生服株式会社都城工場","宮崎県都城市年見町２８－１０","1億円",3036,324,2,"宮崎県",\168000,"あり",1,"その他",120,"製造分野","外衣・シャツ製造業（和式を除く）","ソーイングスタッフ"
"0080","大隅公共職業安定所","46080-34159","株式会社サンコー","鹿児島県志布志市有明町伊崎田５０１３","3,000万円",69,29,3,"鹿児島県",\185000,"あり",10,"毎週",114,"製造分野","セメント・同製品製造業","品質管理"
"0081","都城公共職業安定所","45040-164959","株式会社松尾宮崎","宮崎県都城市高城町穂満坊518-12",,46,46,6,"宮崎県",\170000,"あり",21,"毎週",121,"製造分野","自動車・同附属品製造業","技能職"
"0082","都城公共職業安定所","45040-13159","社会福祉法人豊の里","宮崎県都城市栄町22-5-1豊栄ビル4F",,498,374,2,"宮崎県",\165500,"なし",4,"その他",107,"医療・福祉","老人福祉・介護事業","介獲職(無資格)都城・三股・曽於)"
"0083","都城公共職業安定所","45040-15559","有限会社宮崎県福祉開発センター","宮崎県都城市下長飯町１６０９番地","300万円",69,60,5,"宮崎県",\160700,"なし",4,"その他",104,"飲食・宿泊","食堂，レストラン（専門料理店を除く）","調理職（都城・曽於）"
"0084","都城公共職業安定所","45040-147659","プロマ精工株式会社","宮崎県都城市高木町７０７２－１","1,000万円",32,32,1,"宮崎県",\178000,"あり",25,"その他",105,"製造分野","その他の生産用機械・同部分品製造業","電気制御"
"0085","都城公共職業安定所","45040-148959","プロマ精工株式会社","宮崎県都城市高木町７０７２－１","1,000万円",32,32,1,"宮崎県",\178000,"あり",25,"その他",105,"製造分野","その他の生産用機械・同部分品製造業","機械設計"
"0086","都城公共職業安定所","45040-150159","プロマ精工株式会社","宮崎県都城市高木町７０７２－１","1,000万円",32,32,1,"宮崎県",\178000,"あり",25,"その他",105,"製造分野","その他の生産用機械・同部分品製造業","機械組立"
"0087","都城公共職業安定所","45040-149859","プロマ精工株式会社","宮崎県都城市高木町７０７２－１","1,000万円",32,32,2,"宮崎県",\178000,"あり",25,"その他",105,"製造分野","その他の生産用機械・同部分品製造業","金属機械加工"
"0088","鹿児島公共職業安定所","46010-450259","南国殖産株式会社","鹿児島県鹿児島市中央町１８－１　南国センタービル５階","5億円",1178,298,5,"",\223000,"あり",17,"その他",110,"販売・小売・スーパー","建築材料卸売業","携帯電話販売業務"
"0089","鹿児島公共職業安定所","46010-447959","南国殖産株式会社","鹿児島県鹿児島市中央町１８－１　南国センタービル５階","5億円",1178,499,10,"",\226000,"あり",17,"その他",110,"販売・小売・スーパー","建築材料卸売業","サービスステーション販売職"
"0090","鹿児島公共職業安定所","46010-279759","ネッツトヨタ鹿児島株式会社","鹿児島県鹿児島市城南町８－１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
（南林寺バス停から","1億円",197,31,5,"鹿児島県",\193500,"あり",15,"その他",115,"販売・小売・スーパー","自動車小売業","整備職"
"0091","鹿児島公共職業安定所","46010-555259","株式会社細山田商事","鹿児島県鹿児島市中央町３５－３１","1,000万円",350,0,5,"鹿児島県",\222000,"あり",15,"その他",120,"その他の分野","建物売買業，土地売買業","パチンコ店店舗運営スタッフ"
"0092","国分公共職業安定所","46040-89559","株式会社マキオＡ－Ｚはやと","鹿児島県霧島市隼人町真孝３６７７","3,000万円",811,294,2,"鹿児島県",\175000,"あり",10,"その他",100,"販売・小売・スーパー","百貨店","事務職"
"0093","国分公共職業安定所","46040-42859","株式会社マキオA-Zはやと","鹿児島県霧島市隼人町真孝3677","3,000万円",811,294,5,"鹿児島県",\175000,"あり",10,"その他",100,"販売・小売・スーパー","百貨店","車関係、車販売(カーZ) 自動車整備(カーピット・車検)"
"0094","国分公共職業安定所","46040-41959","株式会社マキオＡ－Ｚはやと","鹿児島県霧島市隼人町真孝３６７７","3,000万円",811,294,10,"鹿児島県",\175000,"あり",10,"その他",100,"販売・小売・スーパー","百貨店","接客・販売店員"
"0095","国分公共職業安定所","46040-102759","株式会社マキオＡ－Ｚはやと","鹿児島県霧島市隼人町真孝３６７７","3,000万円",811,294,2,"鹿児島県",\175000,"あり",10,"その他",100,"販売・小売・スーパー","百貨店","販売・調理員（惣菜・レストラン部門）"
"0096","国分公共職業安定所","46040-103659","株式会社マキオＡ－Ｚはやと","鹿児島県霧島市隼人町真孝３６７７","3,000万円",811,294,2,"鹿児島県",\175000,"あり",10,"その他",100,"販売・小売・スーパー","百貨店","販売員（精肉・鮮魚部門）"
"0097","鹿児島公共職業安定所","46010-281059","南日本くみあい飼料株式会社","鹿児島県鹿児島市鴨池新町１５　ＪＡ会館７階

（ＪＡ会館前バス停から徒歩１分）","10億円",174,174,2,"鹿児島県",\180300,"あり",13,"その他",104,"製造分野","飼料・有機質肥料製造業","配合飼料製造"
"0098","鹿児島公共職業安定所","46010-717459","株式会社南日本銀行","鹿児島県鹿児島市山下町１－１","133億5,100万円",837,837,10,"鹿児島県",\200000,"あり",10,"毎週",120,"その他の分野","銀行（中央銀行を除く）","総合職（銀行業務全般）"
"0099","鹿児島公共職業安定所","46010-404959","株式会社明興テクノス","鹿児島県鹿児島市小松原１丁目１０－８

（鹿児島市電：笹貫電停から徒歩５分）","5,000万円",217,108,10,"鹿児島県",\200000,"あり",14,"毎週",124,"建築・設備","電気工事業","システムエンジニア"
"0100","鹿児島公共職業安定所","46010-35759","株式会社明興テクノス","鹿児島県鹿児島市小松原1丁目10-8","5,000万円",217,108,10,"鹿児島県",\200000,"あり",14,"毎週",124,"建築・設備","電気工事業","電気設備の施工管理・システムエンジニア 製造エンジニア"
"0101","鹿児島公共職業安定所","46010-406059","株式会社明興テクノス","鹿児島県鹿児島市小松原1丁目10-8","5,000万円",217,108,10,"鹿児島県",\200000,"あり",14,"毎週",124,"建築・設備","電気工事業","電気設備の施工管理 (プロジェクトエンジニア)"
"0102","鹿児島公共職業安定所","46010-528859","株式会社明興テクノス","鹿児島県鹿児島市小松原１丁目１０－８

（鹿児島市電：笹貫電停から徒歩５分）","5,000万円",217,60,10,"鹿児島県",\200000,"あり",14,"毎週",124,"建築・設備","電気工事業","製造エンジニア（日置市）"
"0103","鹿児島公共職業安定所","46010-794659","株式会社森山（清）組","鹿児島県鹿児島市唐湊１丁目１３－２５

市電　唐湊電停から徒歩３分","8,100万円",96,96,2,"鹿児島県",\206000,"あり",14,"その他",115,"建築・設備","一般土木建築工事業","土木技術者・建築技術者（施工管理）"
"0104","鹿児島公共職業安定所","46010-824759","株式会社森山(清)組","鹿児島県鹿児島市唐湊1丁目13-25","8,100万円",96,96,2,"鹿児島県",\195000,"あり",14,"その他",115,"建築・設備","一般土木建築工事業","建設ディレクター (現場サポート・現場事務)"
"0105","鹿児島公共職業安定所","46010-849459","株式会社森山（清）組","鹿児島県鹿児島市唐湊１丁目１３－２５

市電　唐湊電停から徒歩３分","8,100万円",96,96,2,"鹿児島県",\205000,"あり",14,"その他",115,"建築・設備","一般土木建築工事業","建設技能員（重機オペレーター）"
"0106","伊万里公共職業安定所","41040-49059","株式会社伊万里木材市場","佐賀県伊万里市山代町楠久津１４５－３０","1,000万円",96,17,1,"鹿児島県",\180000,"あり",10,"毎週",126,"販売・小売・スーパー","建築材料卸売業","現場職（南九州営業所）"
"0107","大隅公共職業安定所","46080-27159","株式会社川原設備","鹿児島県曽於市末吉町二之方６０６１－１","2,000万円",17,13,4,"鹿児島県",\240000,"あり",5,"その他",95,"建築・設備","管工事業（さく井工事業を除く）","配管工"
"0108","大隅公共職業安定所","46080-75359","さくら電機産業株式会社","鹿児島県志布志市志布志町帖３６７３－１","1,050万円",150,26,3,"",\173000,"あり",20,"毎週",125,"販売・小売・スーパー","電気機械器具卸売業","事務職"
